#Sno.,PCE,polarizability,delLA,delLD,N_atom,Eg,lamda_h,DIP,AL-DH,delHD,E_bind,DL-AL,delGE,E_T1
262,3.19,1070.0603333333,0.0334700048,0.2576918256,62,503.87,0.4458923017,6.0990797845,3.2373385948,0.2677600384,2.1108860467,0.6465425319,0.8486837161,1.6815
215,4.22,1085.6213333333,0.0334700048,0.2576918256,62,512.33,0.3205835971,6.203990562,3.3431908864,0.2756513404,2.0873443181,0.4764713692,0,1.6799
90,6.11,767.2913333333,0.0334700048,0.0182316286,52,391.83,0.4407869015,6.9509357607,4.0120467548,0.4299398991,2.2409045419,0.5725275619,4.3450353002,2.3863
42,7.37,929.7506666667,0.0334700048,0.0119730099,64,396.99,0.4529305267,6.6322945123,3.7165311026,0.3303462263,2.1666927563,0.8348453231,0,2.392
87,6.17,1221.7176666667,0.0334700048,0.1023148114,49,464.68,0.2949673425,6.3532948111,3.5336705885,0.4821857603,2.0508113495,0.5608266659,0.327714159,1.8263
270,2.52,1020.109,0.0334700048,0.2655831276,50,517.23,0.4428013604,6.4267783426,3.5279561975,0.2323852366,2.1768545257,0.3357885035,2.1760116429,1.147
269,2.56,1423.1503333333,0.0334700048,0.2228612515,66,547.72,0.4637612026,6.2511634045,3.4038722772,0.1929287269,2.0620843705,0.3023184987,1.9894841392,1.1043
82,6.27,1482.7063333333,0.0334700048,0.0470756978,79,536.27,0.409673947,6.3436491911,3.5124457074,0.1104782273,2.0331481307,0.2538822316,1.2823357517,1.1268
222,4.18,567.303,0.0334700048,1.8174484723,34,491.54,0.287191689,6.4453095686,3.5252350589,0.7295372592,2.2980700906,0.4713012059,0.4024623958,1.2883
186,4.65,566.7406666667,0.0334700048,1.8305099376,34,489.52,0.2752456184,6.5100038225,3.5929914101,0.7200132741,2.2999372556,0.420415914,0.4934952381,1.312
183,4.66,566.5823333333,0.0334700048,1.8405781504,34,490.11,0.2884450454,6.5209501467,3.6022432813,0.7153873385,2.2902128014,0.3948372112,0.6198029203,1.2935
31,7.75,1386.8256666667,0.0334700048,0.0353748018,72,460.42,0.280595649,6.4414869131,3.602787509,0.2234054793,2.084922908,0.5627314629,0.2795332359,1.8295
37,7.6,1407.576,0.0334700048,0.029116183,74,450.89,0.3739053964,6.3904067878,3.5554396974,0.3714354191,1.9418391442,0.5268124334,0.023486379,1.9321
96,6.02,967.6436666667,0.0334700048,0.3295298847,44,484.62,0.4196031096,6.4666974459,3.6419719049,0.8764787437,2.1401255296,0.4106198151,2.6673943634,1.7302
178,4.72,816.6253333333,0.0334700048,0.7885859669,40,445.14,0.4026218442,6.5396149806,3.5875491329,0.6160657795,1.7722672848,0.1717038458,31.1619522221,2.1156
45,7.24,993.939,0.0334700048,1.4413871175,46,566.97,0.3620804165,6.5572934018,3.6095903555,0.367897939,1.6311150097,-0.5627314629,18.9925108869,0.886
182,4.67,544.0436666667,0.0334700048,1.4509111026,28,398.22,0.4200659753,6.5676274698,3.6060528754,0.500145275,2.400968597,0.9058670406,4.8701110634,2.3354
93,6.07,474.2103333333,0.0334700048,1.5967641316,26,390.98,0.3404732155,6.6800826042,3.7070071175,0.6234128537,2.3345971447,0.7140267692,13.90116544,2.358
50,7.14,552.844,0.0334700048,0.7085844919,32,394.63,0.4410062253,6.510815266,3.5505416479,0.4819136464,2.3036625648,0.9178400505,14.79378419,2.3676
142,5.23,1284.8446666667,0.0334700048,0.2546985732,78,529.55,0.4105433508,6.1126658853,3.258291362,0.2329294644,2.1521782121,0.5885822796,0.1029457138,1.1393
47,7.21,1235.3096666667,0.0334700048,0.2851753255,78,520.62,0.4026425248,6.3003830873,3.4414239899,0.1749692121,2.1633163014,0.4430013644,0.0729,1.1512
61,6.71,956.7683333333,0.0334700048,0.1104782272,52,467.8,0.56396822,6.7694567688,3.890956087,0.5366085323,2.1536129165,0.2212285684,0.0001,1.8298
10,8.85,2062.969,0.0334700048,0.005714391,99,507.21,0.2975864383,6.0392541917,3.2351616839,0.165445227,1.8172874103,0.4892607207,2.20108267,1.7187
167,4.91,977.3456666667,0.0334700048,0.2029969397,54,424.62,0.4567436582,6.6859891076,3.7856480231,0.3812315181,2.9512383815,0.6642299328,1.9975276369,1.6432
143,5.22,1451.7886666667,0.0334700048,0.0832668412,74,445.56,0.4574318342,6.4326113753,3.5845558804,0.216058405,2.6619853179,0.6900807495,0.0027730849,1.6446
